slavery_pressure_display_title;Gage the Slavery Debate;;;;;;;;;;;;;x
slavery_pressure_display_desc;This decision adds a modifier that displays your current Slavery Pressure value.;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New Modifiers;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
bel_assim;L'union fait la force;;;;;;;;;;;;;x
bel_assim_desc;Belgian customs are being reinforced across the realm.;;;;;;;;;;;;;x
slave_pressure_delay;Gage decision cooldown;;;;;;;;;;;;;x
slave_pressure_var0;Your current pressure value is 0;;;;;;;;;;;;;x
slave_pressure_var1;Your current pressure value is 1;;;;;;;;;;;;;x
slave_pressure_var2;Your current pressure value is 2;;;;;;;;;;;;;x
slave_pressure_var3;Your current pressure value is 3;;;;;;;;;;;;;x
slave_pressure_var4;Your current pressure value is 4;;;;;;;;;;;;;x
slave_pressure_var5;Your current pressure value is 5;;;;;;;;;;;;;x
slave_pressure_var6;Your current pressure value is 6;;;;;;;;;;;;;x
slave_pressure_var7;Your current pressure value is 7;;;;;;;;;;;;;x
slave_pressure_var8;Your current pressure value is 8;;;;;;;;;;;;;x
slave_pressure_var9;Your current pressure value is 9;;;;;;;;;;;;;x
slave_pressure_var10;Your current pressure value is 10;;;;;;;;;;;;;x
slave_pressure_var11;Your current pressure value is 11;;;;;;;;;;;;;x
slave_pressure_var12;Your current pressure value is 12;;;;;;;;;;;;;x
slave_pressure_var13;Your current pressure value is 13;;;;;;;;;;;;;x
slave_pressure_var14;Your current pressure value is 14;;;;;;;;;;;;;x
slave_pressure_var15;Your current pressure value is 15;;;;;;;;;;;;;x
slave_pressure_var16;Your current pressure value is 16;;;;;;;;;;;;;x
slave_pressure_var17;Your current pressure value is 17;;;;;;;;;;;;;x
slave_pressure_var18;Your current pressure value is 18;;;;;;;;;;;;;x
slave_pressure_var19;Your current pressure value is 19;;;;;;;;;;;;;x
slave_pressure_var20;Your current pressure value is 20;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Size Tags;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
ZT1;§YTiny State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Tiny §Rsince it's below 100k pops.;;;;;;;;;;;;;x
ZT2;§YTiny State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Tiny §Rsince it's below 100k pops.;;;;;;;;;;;;;x
ZS1;§YSmall State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Small §Rsince it's below 400k pops.;;;;;;;;;;;;;x
ZS2;§YSmall State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Small §Rsince it's below 400k pops.;;;;;;;;;;;;;x
ZM1;§YMedium State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Medium §Rsince it's below 700k pops.;;;;;;;;;;;;;x
ZM2;§YMedium State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Medium §Rsince it's below 700k pops.;;;;;;;;;;;;;x
ZL1;§YLarge State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Large §Rsince it's below 1m pops.;;;;;;;;;;;;;x
ZL2;§YLarge State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Large §Rsince it's below 1m pops.;;;;;;;;;;;;;x
ZH1;§YHuge State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Huge §Rsince it's above 1m pops.;;;;;;;;;;;;;x
ZH2;§YHuge State Flag\n§WThis flag dynamically assigns a size to this state. Currently it's set to Huge §Rsince it's above 1m pops.;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Size CBs;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
acquire_core_state_tiny;Take Tiny Core State;;;;;;;;;;;;;;x
acquire_core_state_tiny_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_tiny_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_tiny_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_core_state_small;Take Small Core State;;;;;;;;;;;;;;x
acquire_core_state_small_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_small_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_small_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_core_state_medium;Take Medium Core State;;;;;;;;;;;;;;x
acquire_core_state_medium_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_medium_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_medium_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_core_state_large;Take Large Core State;;;;;;;;;;;;;;x
acquire_core_state_large_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_large_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_large_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_core_state_huge;Take Huge Core State;;;;;;;;;;;;;;x
acquire_core_state_huge_short;Acquire $STATE$;;;;;;;;;;;;;;x
acquire_core_state_huge_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;;x
acquire_core_state_huge_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;;x
acquire_state_tiny_early;Take Tiny State Earlygame;;;;;;;;;;;;;x
acquire_state_tiny_early_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_tiny_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_tiny_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_small_early;Take Small State Earlygame;;;;;;;;;;;;;x
acquire_state_small_early_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_small_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_small_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_medium_early;Take Medium State Earlygame;;;;;;;;;;;;;x
acquire_state_medium_early_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_medium_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_medium_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_large_early;Take Large State Earlygame;;;;;;;;;;;;;x
acquire_state_large_early_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_large_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_large_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_huge_early;Take Huge State Earlygame;;;;;;;;;;;;;x
acquire_state_huge_early_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_huge_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_huge_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_tiny;Take Tiny State;;;;;;;;;;;;;x
acquire_state_tiny_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_tiny_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_tiny_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_small;Take Small State;;;;;;;;;;;;;x
acquire_state_small_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_small_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_small_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_medium;Take Medium State;;;;;;;;;;;;;x
acquire_state_medium_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_medium_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_medium_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_large;Take Large State;;;;;;;;;;;;;x
acquire_state_large_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_large_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_large_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
acquire_state_huge;Take Huge State;;;;;;;;;;;;;x
acquire_state_huge_short;Acquire $STATE$;;;;;;;;;;;;;x
acquire_state_huge_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
acquire_state_huge_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
free_peoples_tiny_early;Free Tiny State Earlygame;;;;;;;;;;;;;x
free_peoples_tiny_early_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_tiny_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_tiny_early_setup;Demand that $RECIPIENT$ return territory.;;;;;;;;;;;;;x
free_peoples_small_early;Free Small State Earlygame;;;;;;;;;;;;;x
free_peoples_small_early_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_small_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_small_early_setup;Demand that $RECIPIENT$ return territory.;;;;;;;;;;;;;x
free_peoples_medium_early;Free Medium State Earlygame;;;;;;;;;;;;;x
free_peoples_medium_early_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_medium_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_medium_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
free_peoples_large_early;Free Large State Earlygame;;;;;;;;;;;;;x
free_peoples_large_early_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_large_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_large_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
free_peoples_huge_early;Free Huge State Earlygame;;;;;;;;;;;;;x
free_peoples_huge_early_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_huge_early_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_huge_early_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
free_peoples_tiny;Free Tiny State;;;;;;;;;;;;;x
free_peoples_tiny_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_tiny_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_tiny_setup;Demand that $RECIPIENT$ return territory.;;;;;;;;;;;;;x
free_peoples_small;Free Small State;;;;;;;;;;;;;x
free_peoples_small_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_small_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_small_setup;Demand that $RECIPIENT$ return territory.;;;;;;;;;;;;;x
free_peoples_medium;Free Medium State;;;;;;;;;;;;;x
free_peoples_medium_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_medium_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_medium_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
free_peoples_large;Free Large State;;;;;;;;;;;;;x
free_peoples_large_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_large_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_large_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
free_peoples_huge;Free Huge State;;;;;;;;;;;;;x
free_peoples_huge_short;Free $STATE$;;;;;;;;;;;;;x
free_peoples_huge_desc;This CB fixes the warscore value in order to keep warscore values consistent and prevent exploits.;;;;;;;;;;;;;x
free_peoples_huge_setup;Demand that $RECIPIENT$ secede territory.;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#New States;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
EGY_1827;Nubia;;;;;;;;;;;;;;x
BRZ_2401;Região Norte;;;;;;;;;;;;;;x
BRZ_2416;Centro-Oeste;;;;;;;;;;;;;;x
BRZ_2467;Região Sul;;;;;;;;;;;;;;x
BOL_2314;Chuquiasca y Potosí;;;;;;;;;;;;;;x
CLM_2251;Antioquía y Zulia;;;;;;;;;;;;;;x
CLM_2247;Cundinamarca y Guaviare;;;;;;;;;;;;;;x
VNZ_2278;Bolívar y Miranda;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#American Civil War Event Chain;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
EVTNAME16001;Missouri Compromise;;;;;;;;;;;;;;x
EVTDESC16001;Eighteen years ago the balance between free states and slave states was threatened by Missouri's petition for admission as a slave state. The Missouri Compromise was passed in Congress two years after to great controversy. Missouri was admitted statehood as a slave state under the condition that Maine would be admitted as a free state and that slavery would be prohibited in the remaining Louisiana Purchase lands north of the 36th Parallel. The line in the sand was drawn in regards to slavery in the Union.;;;;;;;;;;;;;;x
EVTOPTA16001;A fragile balance.;;;;;;;;;;;;;;x
EVTNAME16002;The Amistad Decision;;;;;;;;;;;;;;x
EVTDESC16002;Two years ago slaves revolted in a spanish ship named 'La Amistad' and attempted to return to Africa, but they ended up in american shores instead. The abolitionist movement has taken great interest in siding with the fugitive slaves ever since. The case is now before the Supreme Court and the public eye is fixated on its proceedings.;;;;;;;;;;;;;;x
EVTOPTA16002;The slaves will be returned to Africa at government expense.;;;;;;;;;;;;;;x
EVTOPTB16002;The slaves will be declared freed and may return to Africa through their own means.;;;;;;;;;;;;;;x
EVTOPTC16002;The slaves will be returned to Spain in accordance to Pinckney's Treaty.;;;;;;;;;;;;;;x
EVTNAME16003;Prigg V. Pennsylvania;;;;;;;;;;;;;;x
EVTDESC16003;Edward Prigg a slave catcher who was tried by the court of York County has brought his case to the Supreme Court. He argues that his arrest was unconstitutional as Federal law supersedes any state law. The outcome of this case will set a considerable precedent about Federal power.;;;;;;;;;;;;;;x
EVTOPTA16003;The State of Pennsylvania will comply with Federal law.;;;;;;;;;;;;;;x
EVTOPTB16003;The State of Pennsylvania doesn't have to comply with Federal law.;;;;;;;;;;;;;;x
EVTNAME16004;Annexation of Texas;;;;;;;;;;;;;;x
EVTDESC16004;Abolitionists are claiming that the annexation of Texas is immoral as they seek admission into the Union as a slave state. The Whigs are putting considerable effort behind blocking the annexation treaty.;;;;;;;;;;;;;;x
EVTOPTA16004;Texas will be admitted as a free state.;;;;;;;;;;;;;;x
EVTOPTB16004;Texas will be admitted as a slave state.;;;;;;;;;;;;;;x
EVTNAME16005;The Underground Railroad;;;;;;;;;;;;;;x
EVTDESC16005;Harriet Tubman is an ex-slave that has caught the public eye for helping slaves escape the south. There are reports that many of these slaves are ending up in Canada or Mexico.;;;;;;;;;;;;;;x
EVTOPTA16005;Our hands are tied.;;;;;;;;;;;;;;x
EVTOPTB16005;Shut it down.;;;;;;;;;;;;;;x
EVTNAME16006;Compromise of $YEAR$;;;;;;;;;;;;;;x
EVTDESC16006;Facing the acquisition of mexican territory the southern states seek to expand slavery into the new land. The inhabitants of those territories have different aims and instead seek to be free states. Allowing this request without making concessions to the southerners would greatly enrage them and likely provke them into action.;;;;;;;;;;;;;;x
EVTOPTA16006;We will strengthen fugitive slave laws as a compromise.;;;;;;;;;;;;;;x
EVTOPTB16006;We shall make no concessions.;;;;;;;;;;;;;;x
EVTNAME16007;Uncle Tom's Cabin;;;;;;;;;;;;;;x
EVTDESC16007;This novel recently published in book form has spread around the nation and abroad to considerable popularity. It's contents strongly support the abolitionists. In response the book has been largely banned in the South.;;;;;;;;;;;;;;x
EVTOPTA16007;What a shame, it's a good read.;;;;;;;;;;;;;;x
EVTNAME16008;Kansas-Nebraska Act;;;;;;;;;;;;;;x
EVTDESC16008;Senator Setephen. A Douglas of Illinois proposed the Kansas-Nebraska Bill arguing for the good it would do for the development of the nation. He suggested with the proposed bill that the matter of slavery should be left to popular soverignty when a territory is organized.;;;;;;;;;;;;;;x
EVTOPTA16008;The bill moves forward as propsed.;;;;;;;;;;;;;;x
EVTOPTB16008;The bill moves forward but the territories shall be free soil.;;;;;;;;;;;;;;x
EVTOPTC16008;The bill moves forward but slavery will be allowed in the territories.;;;;;;;;;;;;;;x
EVTNAME16009;Bleeding Kansas;;;;;;;;;;;;;;x
EVTDESC16009;Violence break out as abolitionists clash with pro-slavery ruffians in the Kansas territory over the matter of popular sovereignty. There are now two different governments in two different cities claiming to be the legitimate government of Kansas.;;;;;;;;;;;;;;x
EVTOPTA16009;A bad omen.;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Promotion Tech Spread Events;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
EVTNAME750001;Guild Based Production;;;;;;;;;;;;;;x
EVTDESC750001;The promotion rate of your farmers and labourers into craftsmen has been increased by 1%.;;;;;;;;;;;;;;x
EVTNAME750002;Organized Factories;;;;;;;;;;;;;;x
EVTDESC750002;The promotion rate of your farmers and labourers into craftsmen has been increased by 1%.;;;;;;;;;;;;;;x
EVTNAME750003;Scientific Management;;;;;;;;;;;;;;x
EVTDESC750003;The promotion rate of your farmers and labourers into craftsmen has been increased by 1%.;;;;;;;;;;;;;;x
EVTNAME750004;Time-Saving Measures;;;;;;;;;;;;;;x
EVTDESC750004;The promotion rate of your farmers and labourers into craftsmen has been increased by 1%.;;;;;;;;;;;;;;x
EVTNAME750005;Management Strategy;;;;;;;;;;;;;;x
EVTDESC750005;The promotion rate of your farmers and labourers into craftsmen has been increased by 1%.;;;;;;;;;;;;;;x
EVTNAME750006;Organizational Development;;;;;;;;;;;;;;x
EVTDESC750006;The promotion rate of your farmers and labourers into craftsmen has been increased by 1%.;;;;;;;;;;;;;;x
EVTNAME750007;Market Regulations;;;;;;;;;;;;;;x
EVTDESC750007;The promotion rate of your craftsmen into clerks has been increased by 5%.;;;;;;;;;;;;;;x
EVTNAME750008;Economic Responsibility;;;;;;;;;;;;;;x
EVTDESC750008;The promotion rate of your craftsmen into clerks has been increased by 5%.;;;;;;;;;;;;;;x
EVTNAME750009;Government Interventionism;;;;;;;;;;;;;;x
EVTDESC750009;The promotion rate of your craftsmen into clerks has been increased by 5%.;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
#Promotion Tech Spread Inventions;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
craftsmen_promotion;§YCraftsmen Promotion Increase;;;;;;;;;;;;;;x
craftsmen_promotion_desc;An event will fire after you research this tech that increases the promotion rate of your farmers and labourers into craftsmen by 1%.;;;;;;;;;;;;;;x
clerk_promotion;§YClerk Promotion Increase;;;;;;;;;;;;;;x
clerk_promotion_desc;An event will fire after you research this tech that increases the promotion rate of your craftsmen into clerks by 5%.;;;;;;;;;;;;;;x
